weight,won,lost,n_gold,final_cycle
0.55,1,1,0,6838
0.55,0,1,2,6859
0.55,0,1,2,6854
0.55,1,1,0,6857
0.55,0,1,2,5081
0.55,1,1,0,5079
0.55,0,1,2,5108
0.55,0,1,1,5086
0.55,1,1,0,4598
0.55,0,1,2,4622
0.55,1,1,0,4630
0.55,0,1,2,4604
0.55,0,1,1,2981
0.55,0,1,2,2985
0.55,0,1,1,2988
0.55,0,1,1,2966
0.55,0,1,1,1355
0.55,0,1,2,1339
0.55,0,1,1,1341
0.55,1,0,0,1341
0.6000000000000001,0,1,2,5879
0.6000000000000001,0,1,2,5881
0.6000000000000001,1,1,0,5849
0.6000000000000001,0,1,1,5874
0.6000000000000001,1,1,0,4946
0.6000000000000001,0,1,2,5032
0.6000000000000001,0,1,1,4994
0.6000000000000001,0,1,1,4997
0.6000000000000001,1,1,0,2814
0.6000000000000001,0,1,1,2840
0.6000000000000001,0,1,1,2841
0.6000000000000001,0,1,2,2842
0.6000000000000001,0,1,1,2025
0.6000000000000001,0,1,2,2016
0.6000000000000001,0,1,1,2030
0.6000000000000001,0,1,1,2024
0.6000000000000001,0,1,1,806
0.6000000000000001,0,1,1,802
0.6000000000000001,0,1,2,799
0.6000000000000001,0,1,2,807
0.6500000000000001,0,1,2,4031
0.6500000000000001,0,1,2,4023
0.6500000000000001,0,1,2,3999
0.6500000000000001,1,1,0,3970
0.6500000000000001,0,1,2,3477
0.6500000000000001,0,1,2,3463
0.6500000000000001,0,1,1,3472
0.6500000000000001,0,1,1,3481
0.6500000000000001,0,1,1,3048
0.6500000000000001,0,1,2,3046
0.6500000000000001,0,1,2,3048
0.6500000000000001,0,1,2,3046
0.6500000000000001,0,1,2,2549
0.6500000000000001,1,1,0,2518
0.6500000000000001,0,1,2,2543
0.6500000000000001,0,1,2,2533
0.6500000000000001,0,1,2,2061
0.6500000000000001,0,1,2,2067
0.6500000000000001,0,1,1,2060
0.6500000000000001,0,1,1,2071
0.7000000000000002,0,1,2,8369
0.7000000000000002,0,1,1,8390
0.7000000000000002,0,1,2,8370
0.7000000000000002,0,1,2,8355
0.7000000000000002,0,1,2,7837
0.7000000000000002,1,1,0,7811
0.7000000000000002,1,1,0,7775
0.7000000000000002,0,1,1,7817
0.7000000000000002,0,1,2,4822
0.7000000000000002,0,1,2,4836
0.7000000000000002,0,1,2,4832
0.7000000000000002,0,1,2,4830
0.7000000000000002,0,1,2,4203
0.7000000000000002,0,1,2,4213
0.7000000000000002,0,1,2,4201
0.7000000000000002,0,1,1,4209
0.7000000000000002,0,1,2,2468
0.7000000000000002,0,1,2,2470
0.7000000000000002,0,1,1,2470
0.7000000000000002,0,1,2,2468
0.7500000000000002,0,1,2,6961
0.7500000000000002,1,1,0,6929
0.7500000000000002,0,1,2,6921
0.7500000000000002,0,1,1,6932
0.7500000000000002,0,1,2,4575
0.7500000000000002,0,1,2,4596
0.7500000000000002,0,1,1,4567
0.7500000000000002,1,1,0,4583
0.7500000000000002,1,1,0,2648
0.7500000000000002,0,1,2,2689
0.7500000000000002,0,1,2,2680
0.7500000000000002,0,1,1,2709
0.7500000000000002,1,0,0,2024
0.7500000000000002,0,1,2,2053
0.7500000000000002,0,1,2,2081
0.7500000000000002,1,1,0,2070
0.7500000000000002,0,1,2,899
0.7500000000000002,0,1,2,885
0.7500000000000002,0,1,2,889
0.7500000000000002,0,1,1,883
0.8000000000000003,1,1,0,8380
0.8000000000000003,0,1,2,8440
0.8000000000000003,0,1,2,8451
0.8000000000000003,0,1,2,8483
0.8000000000000003,1,1,0,7507
0.8000000000000003,0,1,2,7553
0.8000000000000003,0,1,1,7495
0.8000000000000003,0,1,1,7499
0.8000000000000003,0,1,2,3592
0.8000000000000003,1,1,0,3592
0.8000000000000003,0,1,2,3582
0.8000000000000003,0,1,2,3598
0.8000000000000003,0,1,2,2756
0.8000000000000003,1,1,0,2769
0.8000000000000003,0,1,1,2820
0.8000000000000003,0,1,1,2759
0.8000000000000003,0,1,1,948
0.8000000000000003,1,0,0,949
0.8000000000000003,0,1,2,950
